Vernier Format 2
Untitled.cmbl 1/30/2020 14:09:25 .
VideoAnalysis
Time	X	Y	X Velocity	Y Velocity
t	X	Y	Vx	Vy
s	m	m	m/s	m/s

0	0	-0.00220490951533	0.174218811979	-0.0245326470799
0.018	0.00551227378833	-0.00220490951533	0.0449392093048	-0.0412286592365
0.035	0.00110245475767	-0.00440981903067	-0.0100379140637	-0.0236749785882
0.052	0.003307364273	-0.003307364273	0.0270209499428	0.00900698331427
0.069	0.003307364273	-0.003307364273	0.0073312345345	0.00366561726725
0.086	0.003307364273	-0.003307364273	0.00363846454675	0.00181923227338
0.102	0.003307364273	-0.003307364273	-0.00363846454675	0.00909616136689
0.119	0.003307364273	-0.003307364273	-0.014608163628	0.03652040907
0.136	0.003307364273	-0.003307364273	-0.0469083691007	0.117270922752
0.153	0.00110245475767	0.00220490951533	-0.0470333035594	0.117583258898
0.17	0.00110245475767	0.00220490951533	-0.014608163628	0.03652040907
0.186	0.00110245475767	0.00220490951533	-0.00363846454675	0.00909616136689
0.203	0.00110245475767	0.00220490951533	0	0
0.22	0.00110245475767	0.00220490951533	0	0
0.237	0.00110245475767	0.00220490951533	0	0
0.254	0.00110245475767	0.00220490951533	0.0109153936403	0.00545769682013
0.27	0.00110245475767	0.00220490951533	0.0492821877042	0.0237314777154
0.287	0.00110245475767	0.00220490951533	0.184842943401	0.0778540371531
0.304	0.00771718330367	0.00551227378833	0.323710980315	0.0993290119898
0.321	0.0110245475767	0.006614728546	0.531577593896	0.0655219103903
0.338	0.0242540046687	0.006614728546	0.806699920713	0.0829392189762
0.354	0.039688371276	0.009922092819	0.976243975933	0.0753858258195
0.371	0.059532556914	0.00881963806133	0.98700405214	0.0852302600186
0.388	0.0705571044907	0.0121270023343	1.12243146344	0.124229013166
0.405	0.095913563917	0.0143319118497	1.35549794212	0.0947381691941
0.423	0.119065113828	0.0154343666073	1.55876609935	0.0625968944648
0.438	0.14662648277	0.016536821365	1.81722127502	0.0218850927215
0.455	0.178597670742	0.0154343666073	1.99064221902	0.0221615567848
0.472	0.21277376823	0.016536821365	2.22095832197	0.0670337909692
0.489	0.255769503779	0.0187417308803	2.35695197237	0.0746180717572
0.506	0.294355420297	0.0176392761227	2.42533283191	0.147160339813
0.522	0.334043791573	0.023151549911	2.57663025895	0.241844344619
0.539	0.379244436637	0.0286638236993	2.73423822508	0.17807712434
0.556	0.427752445975	0.0275613689417	2.85730333075	0.188065811602
0.573	0.476260455312	0.0352785522453	2.97732614978	0.177593167028
0.59	0.52917828368	0.0341760974877	3.08484526009	0.145313954819
0.606	0.578788747775	0.039688371276	3.15449692502	0.134317103017
0.623	0.632809030901	0.0385859165183	3.25299973491	0.127136224857
0.64	0.689034223542	0.042995735549	3.38172592724	0.171637074037
0.657	0.74636187094	0.0452006450643	3.57584238719	0.172135470208
0.674	0.810304246885	0.049610464095	3.78325025774	0.139801952558
0.69	0.875349077587	0.049610464095	3.77461816105	0.111906234889
0.707	0.933779179744	0.0518153736103	3.59590768861	0.15404361254
0.724	1.00323382948	0.056225192641	2.86033612991	0.117646796264
0.741	1.06827866018	0.0573276473987	0.152092261227	-0.00181923227338
0.757	1.00543873899	0.056225192641	-2.46278630719	-0.131009407975
0.774	0.951418455866	0.0518153736103	-3.09657530794	-0.190167272447
0.791	0.894090808468	0.0485080093373	-3.14307689735	-0.175311923229
0.808	0.843377889615	0.046303099822	-2.93074965081	-0.17596160797
0.825	0.797074789793	0.042995735549	-2.84562238721	-0.195149070649
0.841	0.748566780456	0.039688371276	-2.70973536326	-0.206368081073
0.858	0.705571044907	0.0352785522453	-2.47539453501	-0.174142375696
